Order ID,Order Created,Voucher Code,Customer ID,City_Destination,Province_Destination,Items,Total price
200119123,2/1/2019 0:04:17,FT135,78514,tangerang,banten,1,"3,500,000"
200119124,2/1/2019 1:15:27,FT135,38166,jakarta timur,dki jakarta,1,"750,000"
200119125,2/1/2019 2:29:03,FT100,31950,semarang,jawa tengah,3,"610,000"
200119126,2/1/2019 2:38:01,FT75,69703,jakarta selatan,dki jakarta,1,"540,000"
200119127,2/1/2019 2:43:02,,48436,jakarta utara,dki jakarta,1,"185,000"
200119128,2/1/2019 3:13:42,FT135,31950,semarang,jawa tengah,2,"900,000"
200119129,2/1/2019 3:14:14,FT135,38166,jakarta timur,dki jakarta,1,"750,000"
200119130,2/1/2019 3:14:32,,38166,jakarta timur,dki jakarta,6,"1,415,000"
200119131,2/1/2019 6:48:43,FT75,16751,bandung,jawa barat,1,"450,000"
200119132,2/1/2019 6:53:13,,78556,semarang,jawa tengah,1,"125,000"
200119133,2/1/2019 7:04:59,FT75,76086,jakarta utara,dki jakarta,1,"450,000"
200119134,2/1/2019 7:20:34,FT135,76652,bogor,jawa barat,1,"1,250,000"
200119135,2/1/2019 7:30:54,FT135,17509,labuhanbatu,sumatera utara,1,"1,175,000"
200119136,2/1/2019 7:56:29,FT100,74811,jakarta selatan,dki jakarta,8,"720,000"
200119137,2/1/2019 8:10:13,,31950,semarang,jawa tengah,1,"350,000"
200119138,2/1/2019 8:27:48,FT135,38166,jakarta timur,dki jakarta,1,"750,000"
200119139,2/1/2019 8:39:34,,3101,jakarta pusat,dki jakarta,1,"175,000"
200119140,2/1/2019 8:40:53,FT135,78516,pekanbaru,riau,1,"1,840,000"
200119141,2/1/2019 9:01:52,,75880,yogyakarta,di yogyakarta,2,"184,000"
200119142,2/1/2019 9:03:41,,78570,jakarta timur,dki jakarta,1,"130,000"
200119143,2/1/2019 9:15:54,,43401,bandung,jawa barat,3,"530,000"
200119144,2/1/2019 9:46:41,FT75,48436,jakarta utara,dki jakarta,3,"467,500"
200119145,2/1/2019 10:14:48,,38166,jakarta timur,dki jakarta,7,"2,165,000"
200119146,2/1/2019 10:18:57,FT100,37960,surabaya,jawa timur,6,"712,000"
200119148,2/1/2019 11:03:47,,78560,tangerang,banten,5,"5,730,000"
200119149,2/1/2019 11:20:36,,70781,bandung,jawa barat,3,"398,500"
200119150,2/1/2019 11:26:34,,7763,jakarta pusat,dki jakarta,2,"205,000"
200119151,2/1/2019 11:46:29,FT135,40717,jakarta barat,dki jakarta,1,"1,800,000"
200119152,2/1/2019 12:05:44,,50726,bandung,jawa barat,1,"130,000"
200119153,2/1/2019 12:21:59,FT135,60670,tangerang,banten,1,"1,980,000"
200119154,2/1/2019 12:35:01,FT135,38166,jakarta timur,dki jakarta,3,"870,000"
200119155,2/1/2019 12:36:51,,33865,depok,jawa barat,2,"250,000"
200119156,2/1/2019 13:42:25,,77339,jakarta utara,dki jakarta,2,"235,000"
200119157,2/1/2019 14:13:11,FT135,78473,denpasar,bali,1,"1,500,000"
200119158,2/1/2019 14:14:46,FT100,31950,semarang,jawa tengah,2,"625,000"
200119159,2/1/2019 14:21:59,FT135,76773,depok,jawa barat,1,"1,170,000"
200119160,2/1/2019 14:23:55,FT135,38166,jakarta timur,dki jakarta,3,"815,000"
200119161,2/1/2019 14:47:38,FT135,60670,tangerang,banten,2,"1,660,000"
200119162,2/1/2019 14:51:36,FT135,74811,jakarta selatan,dki jakarta,8,"795,000"
200119164,2/1/2019 15:13:37,,55138,denpasar,bali,7,"499,500"
200119165,2/1/2019 15:22:36,FT135,38166,jakarta timur,dki jakarta,1,"750,000"
200119166,2/1/2019 15:23:01,,77987,jakarta selatan,dki jakarta,1,"112,000"
200119167,2/1/2019 15:32:34,,38166,jakarta timur,dki jakarta,1,"67,500"
200119168,2/1/2019 15:33:53,FT135,38166,jakarta timur,dki jakarta,3,"880,000"
200119169,2/1/2019 15:57:18,FT75,15703,jakarta selatan,dki jakarta,1,"475,000"
200119170,2/1/2019 16:11:52,,5375,jakarta timur,dki jakarta,1,"140,000"
200119171,2/1/2019 16:46:51,,78587,depok,jawa barat,1,"150,000"
200119172,2/1/2019 16:50:07,FT75,1654,jakarta pusat,dki jakarta,2,"486,000"
200119173,2/1/2019 17:14:09,FT135,38166,jakarta timur,dki jakarta,1,"750,000"
200119174,2/1/2019 17:14:29,FT135,38166,jakarta timur,dki jakarta,3,"815,000"
200119175,2/1/2019 17:18:51,FT135,38166,jakarta timur,dki jakarta,3,"785,000"
200119176,2/1/2019 17:20:43,,69110,denpasar,bali,3,"300,000"
200119177,2/1/2019 17:27:45,FT75,38166,jakarta timur,dki jakarta,3,"450,000"
200119178,2/1/2019 17:36:37,FT75,67021,jakarta pusat,dki jakarta,3,"542,000"
200119179,2/1/2019 17:37:54,FT135,67021,jakarta pusat,dki jakarta,2,"790,000"
200119180,2/1/2019 18:11:02,FT135,38166,jakarta timur,dki jakarta,1,"800,000"
200119181,2/1/2019 18:19:04,FT100,67021,jakarta pusat,dki jakarta,3,"610,000"
200119182,2/1/2019 18:53:56,,1976,jakarta barat,dki jakarta,1,"169,900"
200119183,2/1/2019 19:07:49,,5849,bandung,jawa barat,1,"100,000"
200119184,2/1/2019 19:28:06,,71544,ngawi,jawa timur,1,"1,300,000"
