Order ID,Date,Source
200126581,"Apr 30, 2019",Google Ads
200126580,"Apr 30, 2019",Direct
200126579,"Apr 30, 2019",Google Ads
200126578,"Apr 30, 2019",Google Ads
200126576,"Apr 30, 2019",Facebook Ads
200126575,"Apr 30, 2019",Facebook Ads
200126574,"Apr 30, 2019",Facebook Ads
200126573,"Apr 30, 2019",Facebook Ads
200126572,"Apr 30, 2019",Facebook Ads
200126571,"Apr 30, 2019",Email
200126570,"Apr 30, 2019",Direct
200126569,"Apr 30, 2019",Organic
200126568,"Apr 30, 2019",Organic
200126567,"Apr 30, 2019",Direct
200126565,"Apr 30, 2019",Organic
200126564,"Apr 30, 2019",Organic
200126563,"Apr 30, 2019",Direct
200126562,"Apr 30, 2019",Facebook Ads
200126561,"Apr 30, 2019",Organic
200126560,"Apr 30, 2019",Google Ads
200126559,"Apr 30, 2019",Organic
200126558,"Apr 30, 2019",Google Ads
200126557,"Apr 30, 2019",Direct
200126556,"Apr 30, 2019",Direct
200126555,"Apr 30, 2019",Email
200126554,"Apr 30, 2019",Facebook Ads
200126553,"Apr 30, 2019",Google Ads
200126552,"Apr 30, 2019",Google Ads
200126551,"Apr 30, 2019",Organic
200126550,"Apr 30, 2019",Google Ads
200126549,"Apr 30, 2019",Google Ads
200126548,"Apr 30, 2019",Direct
200126547,"Apr 30, 2019",Direct
200126546,"Apr 30, 2019",Email
200126545,"Apr 30, 2019",Organic
200126544,"Apr 30, 2019",Google Ads
200126543,"Apr 30, 2019",Direct
200126542,"Apr 30, 2019",Direct
200126541,"Apr 30, 2019",Google Ads
200126540,"Apr 30, 2019",Direct
200126539,"Apr 30, 2019",Organic
200126538,"Apr 30, 2019",Google Ads
200126537,"Apr 30, 2019",Direct
200126536,"Apr 30, 2019",Email
200126535,"Apr 30, 2019",Direct
200126534,"Apr 30, 2019",Organic
200126533,"Apr 30, 2019",Facebook Ads
200126532,"Apr 30, 2019",Direct
200126531,"Apr 30, 2019",Google Ads
200126530,"Apr 29, 2019",Google Ads
200126529,"Apr 29, 2019",Google Ads
200126528,"Apr 29, 2019",Organic
200126527,"Apr 29, 2019",Organic
200126526,"Apr 29, 2019",Organic
200126525,"Apr 29, 2019",Organic
200126524,"Apr 29, 2019",Organic
200126523,"Apr 29, 2019",Organic
200126522,"Apr 29, 2019",Organic
200126521,"Apr 29, 2019",Organic
200126520,"Apr 29, 2019",Google Ads
200126519,"Apr 29, 2019",Organic
200126518,"Apr 29, 2019",Organic
200126517,"Apr 29, 2019",Direct
200126516,"Apr 29, 2019",Google Ads
200126515,"Apr 29, 2019",Direct
200126514,"Apr 29, 2019",Facebook Ads
200126513,"Apr 29, 2019",Direct
200126512,"Apr 29, 2019",Referral
200126511,"Apr 29, 2019",Email
200126510,"Apr 29, 2019",Direct
200126509,"Apr 29, 2019",Email
200126508,"Apr 29, 2019",Google Ads
200126507,"Apr 29, 2019",Direct
200126506,"Apr 29, 2019",Referral
200126505,"Apr 29, 2019",Email
200126504,"Apr 29, 2019",Google Ads
200126503,"Apr 29, 2019",Referral
200126502,"Apr 29, 2019",Google Ads
200126501,"Apr 29, 2019",Google Ads
200126500,"Apr 29, 2019",Referral
200126499,"Apr 29, 2019",Google Ads
200126498,"Apr 29, 2019",Google Ads
200126497,"Apr 29, 2019",Referral
200126496,"Apr 29, 2019",Referral
200126495,"Apr 29, 2019",Google Ads
200126494,"Apr 29, 2019",Direct
200126493,"Apr 29, 2019",Google Ads
200126492,"Apr 29, 2019",Direct
200126491,"Apr 29, 2019",Organic
200126490,"Apr 29, 2019",Direct
200126488,"Apr 29, 2019",Google Ads
200126487,"Apr 29, 2019",Google Ads
200126486,"Apr 29, 2019",Google Ads
200126485,"Apr 29, 2019",Google Ads
200126484,"Apr 29, 2019",Others
200126483,"Apr 29, 2019",Facebook Ads
200126482,"Apr 29, 2019",Organic
200126481,"Apr 29, 2019",Google Ads
200126480,"Apr 29, 2019",Facebook Ads
200126479,"Apr 29, 2019",Google Ads
200126478,"Apr 29, 2019",Email
200126477,"Apr 29, 2019",Google Ads
200126476,"Apr 29, 2019",Google Ads
200126475,"Apr 29, 2019",Organic
200126474,"Apr 29, 2019",Facebook Ads
200126473,"Apr 29, 2019",Google Ads
200126472,"Apr 29, 2019",Organic
200126471,"Apr 29, 2019",Organic
200126469,"Apr 29, 2019",Facebook Ads
200126468,"Apr 29, 2019",Referral
200126467,"Apr 29, 2019",Organic
200126466,"Apr 29, 2019",Google Ads
200126465,"Apr 29, 2019",Organic
200126464,"Apr 29, 2019",Referral
200126463,"Apr 29, 2019",Organic
200126462,"Apr 29, 2019",Direct
200126461,"Apr 29, 2019",Facebook Ads
200126460,"Apr 29, 2019",Organic
200126459,"Apr 29, 2019",Direct
200126458,"Apr 29, 2019",Facebook Ads
200126457,"Apr 29, 2019",Direct
200126456,"Apr 28, 2019",Facebook Ads
200126455,"Apr 28, 2019",Google Ads
200126454,"Apr 28, 2019",Direct
200126453,"Apr 28, 2019",Facebook Ads
200126452,"Apr 28, 2019",Google Ads
200126451,"Apr 28, 2019",Google Ads
200126450,"Apr 28, 2019",Google Ads
200126449,"Apr 28, 2019",Google Ads
200126448,"Apr 28, 2019",Referral
200126447,"Apr 28, 2019",Google Ads
200126446,"Apr 28, 2019",Referral
200126445,"Apr 28, 2019",Referral
200126444,"Apr 28, 2019",Organic
200126443,"Apr 28, 2019",Direct
200126442,"Apr 28, 2019",Facebook Ads
200126441,"Apr 28, 2019",Google Ads
200126440,"Apr 28, 2019",Google Ads
200126439,"Apr 28, 2019",Referral
200126438,"Apr 28, 2019",Google Ads
200126437,"Apr 28, 2019",Google Ads
200126436,"Apr 28, 2019",Google Ads
200126435,"Apr 28, 2019",Referral
200126434,"Apr 28, 2019",Referral
200126433,"Apr 28, 2019",Referral
200126432,"Apr 28, 2019",Google Ads
200126431,"Apr 28, 2019",Direct
200126430,"Apr 28, 2019",Google Ads
200126429,"Apr 28, 2019",Google Ads
200126428,"Apr 28, 2019",Direct
200126426,"Apr 28, 2019",Organic
200126425,"Apr 28, 2019",Facebook Ads
200126423,"Apr 28, 2019",Google Ads
200126422,"Apr 28, 2019",Referral
200126421,"Apr 28, 2019",Google Ads
200126420,"Apr 28, 2019",Direct
200126419,"Apr 28, 2019",Google Ads
200126418,"Apr 28, 2019",Google Ads
200126417,"Apr 28, 2019",Referral
200126416,"Apr 28, 2019",Google Ads
200126415,"Apr 28, 2019",Referral
200126414,"Apr 28, 2019",Google Ads
200126413,"Apr 28, 2019",Referral
200126412,"Apr 28, 2019",Referral
200126411,"Apr 28, 2019",Referral
200126410,"Apr 28, 2019",Referral
200126409,"Apr 28, 2019",Direct
200126408,"Apr 28, 2019",Email
200126407,"Apr 28, 2019",Google Ads
200126406,"Apr 28, 2019",Referral
200126405,"Apr 28, 2019",Google Ads
200126404,"Apr 28, 2019",Referral
200126403,"Apr 28, 2019",Google Ads
200126402,"Apr 28, 2019",Referral
200126401,"Apr 28, 2019",Referral
200126400,"Apr 28, 2019",Referral
200126399,"Apr 28, 2019",Google Ads
200126398,"Apr 28, 2019",Referral
200126397,"Apr 28, 2019",Referral
200126396,"Apr 28, 2019",Referral
200126395,"Apr 28, 2019",Referral
200126394,"Apr 28, 2019",Referral
200126393,"Apr 28, 2019",Referral
200126392,"Apr 28, 2019",Google Ads
200126391,"Apr 28, 2019",Google Ads
200126390,"Apr 28, 2019",Referral
200126389,"Apr 28, 2019",Google Ads
200126388,"Apr 28, 2019",Referral
200126387,"Apr 28, 2019",Referral
200126386,"Apr 28, 2019",Google Ads
200126385,"Apr 28, 2019",Referral
200126384,"Apr 28, 2019",Google Ads
